sku,name_ar,category_name_ar,issue_type,severity,included_in_feed,detail
TF-AC-021,تيليكوموند مكيف Carrier أصلي,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-020,تيليكوموند مكيف Samsung أصلي,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-019,مانو غاز برو,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-018,كوندنساتور كليم – جميع المقاسات,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-017,شاليمو برو,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-016,سيبورة كليم صغيرة,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-AC-015,سيبورة كليم كبيرة,قطع غيار المكيفات المنزلية سبليت,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-088,فرفارة ثلاجة Siera بخار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-087,غاز تبريد R134a وزن 1 كغ,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-086,فلتر ثلاجة 30g,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-085,فلتر ثلاجة 20g,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-084,فلتر ثلاجة 15g,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-083,كابيلير نحاس للثلاجة,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-082,فالف سيبو,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-081,ترموستات K50 عادي,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-080,كوندنساتور موطور ثلاجة 47µF / 80µF,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-079,بولة ثلاجة LED,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-078,غاز ثلاجة R290,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-077,غاز ثلاجة R600a,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-076,غاز شليمو MAPP PRO,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-075,زيت موطور ثلاجة R600a,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-074,كليكسون ثلاجة ستاندار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-073,ترموستات ثلاجة ATEA أصلي,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-072,فرفارة ثلاجة فريكو بخار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-071,زيت موطور ثلاجة R134a,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-070,غاز تبريد R600a وزن 3 كغ,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-069,فرفارة كارية 220V,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-068,ساروة بوطون ترموستات ثلاجة ستاندار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-067,كوب تيوب صغير لقطع النحاس,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-066,فان شارج ستاندار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-065,فيكسيبل غاز,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-064,بكيط أغجون رقيق,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-063,بكيط أغجون نحاس غليظ,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-062,بولة ثلاجة 20W,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-061,فالف قصير,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-060,فالف طويل,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-059,رولي ثلاجة 4 كوسات,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-058,رولي ثلاجة ستاندار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-050,باك فراكة كاري 11×10,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-057,بلاكة ثلاجة 800 لتر,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-056,بلاكة ثلاجة 500 لتر,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-055,بلاكة ثلاجة 290 لتر,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-054,بلاكة ثلاجة 230 لتر,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-053,أورلوج بريز 24 ساعة,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-052,أورلوج كوسات 24 ساعة,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-051,قفل باب الثلاجة بلاستيك,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-050,منتري ثلاجة بخار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-049,منتري ثلاجة LG بخار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-048,منتري ثلاجة Samsung بخار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-047,منتري Siera ثلاجة بخار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-046,منتري توشيبا ثلاجة بخار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-045,ريزيستانس ألمنيوم للثلاجة,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-044,ريزيستانس زجاج للثلاجة - جميع المقاسات,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-043,فرفارة ثلاجة 34W,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-042,فرفارة ثلاجة 10W كومبلي,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-041,كليكسون + رولي كومبلي ZMC,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-040,كليكسون + رولي كومبلي جديد تركي,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-039,كليكسون + رولي ستاندار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-038,ترموستات K50 فالف قصير 70 سم,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-037,ترموستات K50 Ranco أصلي,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-036,فرفارة ثلاجة بخار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-035,سوند ثلاجة بخار بفيشة زرقاء,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-034,سوند ثلاجة بخار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-033,كليكسون ديجفراج أمريكي ثلاجة بخار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-032,كليكسون ثلاجة بخار أمريكي,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-031,كليكسون ديجفراج ثلاجة LG بخار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-030,كليكسون + فيزيبل ثلاجة بخار ستاندار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-029,كليكسون ديجفراج ثلاجة بخار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-028,فرفارة ثلاجة LG بخار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-027,ترموستات A13 ويربول,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-026,بلاكة ميني بار,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-025,بلاكة ثلاجة 125 لتر,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-024,ترموستات فريكو نيغاتيف,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-023,ترموستات VT9 أصلي,قطع غيار الثلاجات,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-049,منتري سيرا رأس طويل,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-048,بلاستيكة بولي موطور الصابون,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-047,بولي LG موديل 2,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-046,فران موطور نشاف,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,no,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-046,فران موطور نشاف,قطع غيار آلات غسيل الملابس العادية,UNSUITABLE_PRIMARY_IMAGE,high,no,الصورة الرئيسية لقطة شاشة إعلانية أو شعار مقصوص مشكوك فيه (نفس القائمة في image_manual_review.csv) — مستبعد من الخلاصة حتى يُستبدَل بصورة منتج حقيقية.
TF-WM-045,فراكة ستندار 10/11 كاري,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-044,جلدة موطور نشاف ويربول باك صغير,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-043,تيو ماكينة الصابون صغير,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-042,منتري لاصيان,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-041,منتري صابون ودنين عوجين 6 خيوط,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-040,موطور نشاف LG رأس غليظ,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-039,بولي سيرا,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-038,بولي وردة كاري رأس طويل جداً 6 ثقاب,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-037,بولي كاري 6 ثقاب,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-036,بولي أونيو تيك 6 ثقاب,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-035,بولي 010,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-034,بولي 009,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-033,بولي 008,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-032,بولي كاري طويل,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-031,بولي 10 طويل,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-030,بولي 11 طويل,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-029,بولي ويربول قصير,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-028,بولي ويربول طويل,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-WM-027,بولي وردة كاري طويل 6 ثقاب,قطع غيار آلات غسيل الملابس العادية,GENERIC_DESCRIPTION,low,yes,وصف عام مشترك مع منتجات أخرى كثيرة، وليس خاصاً بهذا المنتج.
TF-RF-021,راس شارج R600,قطع غيار الثلاجات,UNSUITABLE_PRIMARY_IMAGE,high,no,الصورة الرئيسية لقطة شاشة إعلانية أو شعار مقصوص مشكوك فيه (نفس القائمة في image_manual_review.csv) — مستبعد من الخلاصة حتى يُستبدَل بصورة منتج حقيقية.
TF-RF-016,كوب تيب كبير,قطع غيار المكيفات المنزلية سبليت,UNSUITABLE_PRIMARY_IMAGE,high,no,الصورة الرئيسية لقطة شاشة إعلانية أو شعار مقصوص مشكوك فيه (نفس القائمة في image_manual_review.csv) — مستبعد من الخلاصة حتى يُستبدَل بصورة منتج حقيقية.
TF-RF-013,تلكموند مكيف يونيفرسال,قطع غيار المكيفات المنزلية سبليت,UNSUITABLE_PRIMARY_IMAGE,high,no,الصورة الرئيسية لقطة شاشة إعلانية أو شعار مقصوص مشكوك فيه (نفس القائمة في image_manual_review.csv) — مستبعد من الخلاصة حتى يُستبدَل بصورة منتج حقيقية.
TF-RF-012,فرفارة مكيف LG,قطع غيار المكيفات المنزلية سبليت,UNSUITABLE_PRIMARY_IMAGE,high,no,الصورة الرئيسية لقطة شاشة إعلانية أو شعار مقصوص مشكوك فيه (نفس القائمة في image_manual_review.csv) — مستبعد من الخلاصة حتى يُستبدَل بصورة منتج حقيقية.
TF-RF-010,غاز التبريد R32 حجم 3kg,قطع غيار المكيفات المنزلية سبليت,UNSUITABLE_PRIMARY_IMAGE,high,no,الصورة الرئيسية لقطة شاشة إعلانية أو شعار مقصوص مشكوك فيه (نفس القائمة في image_manual_review.csv) — مستبعد من الخلاصة حتى يُستبدَل بصورة منتج حقيقية.
TF-RF-009,ديدجنير صغير,قطع غيار المكيفات المنزلية سبليت,UNSUITABLE_PRIMARY_IMAGE,high,no,الصورة الرئيسية لقطة شاشة إعلانية أو شعار مقصوص مشكوك فيه (نفس القائمة في image_manual_review.csv) — مستبعد من الخلاصة حتى يُستبدَل بصورة منتج حقيقية.
TF-RF-008,ديدجنير كبير احترافي,قطع غيار المكيفات المنزلية سبليت,UNSUITABLE_PRIMARY_IMAGE,high,no,الصورة الرئيسية لقطة شاشة إعلانية أو شعار مقصوص مشكوك فيه (نفس القائمة في image_manual_review.csv) — مستبعد من الخلاصة حتى يُستبدَل بصورة منتج حقيقية.
TF-RF-007,فرفارة ثلاجة 12V بثلاثة خيوط,قطع غيار الثلاجات,UNSUITABLE_PRIMARY_IMAGE,high,no,الصورة الرئيسية لقطة شاشة إعلانية أو شعار مقصوص مشكوك فيه (نفس القائمة في image_manual_review.csv) — مستبعد من الخلاصة حتى يُستبدَل بصورة منتج حقيقية.
TF-RF-006,بومبا فيد,قطع غيار المكيفات المنزلية سبليت,UNSUITABLE_PRIMARY_IMAGE,high,no,الصورة الرئيسية لقطة شاشة إعلانية أو شعار مقصوص مشكوك فيه (نفس القائمة في image_manual_review.csv) — مستبعد من الخلاصة حتى يُستبدَل بصورة منتج حقيقية.
